date,5cm_soli_moist
2002-07-01,0.1391
2002-07-02,0.1378
2002-07-03,0.1371
2002-07-04,0.1365
2002-07-05,0.1373
2002-07-06,0.1353
2002-07-07,0.1347
2002-07-08,0.1342
2002-07-09,0.1576
2002-07-10,0.1826
2002-07-11,0.1863
2002-07-12,0.2224
2002-07-13,0.2077
2002-07-14,0.2556
2002-07-15,0.2082
2002-07-16,0.2429
2002-07-17,0.1969
2002-07-18,0.2072
2002-07-19,0.187
2002-07-20,0.2634
2002-07-21,0.2449
2002-07-22,0.2252
2002-07-23,0.215
2002-07-24,0.2052
2002-07-25,0.2027
2002-07-26,0.2844
2002-07-27,0.2469
2002-07-28,0.2282
2002-07-29,0.2546
2002-07-30,0.2568
2002-07-31,0.2155
2002-08-01,0.2189
2002-08-02,0.2531
2002-08-03,0.2743
2002-08-04,0.2521
2002-08-05,0.3126
2002-08-06,0.2235
2002-08-07,0.2366
2002-08-08,0.2377
2002-08-09,0.2086
2002-08-10,0.2033
2002-08-11,0.2752
2002-08-12,0.2809
2002-08-13,0.2742
2002-08-14,0.2272
2002-08-15,0.2282
2002-08-16,0.2795
2002-08-17,0.2643
2002-08-18,0.2033
2002-08-19,0.2366
2002-08-20,0.2167
2002-08-21,0.2112
2002-08-22,0.2045
2002-08-23,0.1962
2002-08-24,0.1942
2002-08-25,0.1889
2002-08-26,0.2436
2002-08-27,0.2372
2002-08-28,0.2919
2002-08-29,0.1996
2002-08-30,0.1908
2002-08-31,0.185
2002-09-01,0.1828
2002-09-02,0.1786
2002-09-03,0.1833
2002-09-04,0.2245
2002-09-05,0.2391
2002-09-06,0.2134
2002-09-07,0.1929
2002-09-08,0.2097
2002-09-09,0.1765
2002-09-10,0.1743
2002-09-11,0.2699
2002-09-12,0.2494
2002-09-13,0.223
2002-09-14,0.2142
2002-09-15,0.2404
2002-09-16,0.2037
2002-09-17,0.1965
2002-09-18,0.1899
2002-09-19,0.1838
2002-09-20,0.1781
2002-09-21,0.1735
2002-09-22,0.1708
2002-09-23,0.1704
2002-09-24,0.1674
2002-09-25,0.1622
2002-09-26,0.1643
2002-09-27,0.1647
2002-09-28,0.1599
2002-09-29,0.1573
2002-09-30,0.1554
2002-10-01,0.1537
2002-10-02,0.1519
2002-10-03,0.1503
2002-10-04,0.149
2002-10-05,0.1478
2002-10-06,0.1472
2002-10-07,0.1458
2002-10-08,0.1449
2002-10-09,0.1441
2002-10-10,0.1433
2002-10-11,0.1427
2002-10-12,0.1564
2002-10-13,0.1419
2002-10-14,0.1411
2002-10-15,0.1406
2002-10-16,0.14
2002-10-17,0.1393
2002-10-18,0.1388
2002-10-19,0.1382
2002-10-20,0.1381
2002-10-21,0.138
2002-10-22,0.1388
2002-10-23,0.1447
2002-10-24,0.1373
2002-10-25,0.1402
2002-10-26,0.1396
2002-10-27,0.1389
2002-10-28,0.1383
2002-10-29,0.1378
2002-10-30,0.1387
2002-10-31,0.1416
2003-07-01,0.2959
2003-07-02,0.245
2003-07-03,0.2148
2003-07-04,0.214
2003-07-05,0.1984
2003-07-06,0.1926
2003-07-07,0.3126
2003-07-08,0.2651
2003-07-09,0.2346
2003-07-10,0.288
2003-07-11,0.2646
2003-07-12,0.2985
2003-07-13,0.2289
2003-07-14,0.2801
2003-07-15,0.2451
2003-07-16,0.1997
2003-07-17,0.1914
2003-07-18,0.1836
2003-07-19,0.1799
2003-07-20,0.3228
2003-07-21,0.27
2003-07-22,0.2948
2003-07-23,0.3079
2003-07-24,0.293
2003-07-25,0.224
2003-07-26,0.2164
2003-07-27,0.2852
2003-07-28,0.2679
2003-07-29,0.2505
2003-07-30,0.3078
2003-07-31,0.3195
2003-08-01,0.3316
2003-08-02,0.2817
2003-08-03,0.3299
2003-08-04,0.2436
2003-08-05,0.2358
2003-08-06,0.2255
2003-08-07,0.2151
2003-08-08,0.2435
2003-08-09,0.272
2003-08-10,0.2489
2003-08-11,0.2158
2003-08-12,0.2078
2003-08-13,0.2036
2003-08-14,0.3115
2003-08-15,0.263
2003-08-16,0.2919
2003-08-17,0.2878
2003-08-18,0.2693
2003-08-19,0.2994
2003-08-20,0.3273
2003-08-21,0.2778
2003-08-22,0.2524
2003-08-23,0.2999
2003-08-24,0.2981
2003-08-25,0.2669
2003-08-26,0.2629
2003-08-27,0.2525
2003-08-28,0.2733
2003-08-29,0.2972
2003-08-30,0.2765
2003-08-31,0.3102
2003-09-01,0.252
2003-09-02,0.2404
2003-09-03,0.2303
2003-09-04,0.2207
2003-09-05,0.226
2003-09-06,0.2098
2003-09-07,0.2417
2003-09-08,0.2385
2003-09-09,0.2358
2003-09-10,0.2102
2003-09-11,0.2723
2003-09-12,0.2097
2003-09-13,0.2213
2003-09-14,0.1948
2003-09-15,0.1902
2003-09-16,0.1863
2003-09-17,0.196
2003-09-18,0.1815
2003-09-19,0.1768
2003-09-20,0.1734
2003-09-21,0.1702
2003-09-22,0.1675
2003-09-23,0.1651
2003-09-24,0.166
2003-09-25,0.1693
2003-09-26,0.1817
2003-09-27,0.1582
2003-09-28,0.1569
2003-09-29,0.1568
2003-09-30,0.1553
2003-10-01,0.1548
2003-10-02,0.1553
2003-10-03,0.1527
2003-10-04,0.1518
2003-10-05,0.1505
2003-10-06,0.1492
2003-10-07,0.1536
2003-10-08,0.1495
2003-10-09,0.1471
2003-10-10,0.1463
2003-10-11,0.1455
2003-10-12,0.1448
2003-10-13,0.144
2003-10-14,0.1709
2003-10-15,0.1476
