date,potential_water_deficit
2002-07-01,-4.6066
2002-07-02,-2.9165
2002-07-03,7.5906
2002-07-04,-2.2922
2002-07-05,-2.8745
2002-07-06,-4.201
2002-07-07,-2.745
2002-07-08,6.1314
2002-07-09,-3.0138
2002-07-10,-2.6801
2002-07-11,-4.1539
2002-07-12,-2.8529
2002-07-13,-4.5996
2002-07-14,-3.2704
2002-07-15,3.8772
2002-07-16,-3.7933
2002-07-17,3.1813
2002-07-18,3.8144
2002-07-19,-3.549
2002-07-20,-1.5319
2002-07-21,0.2456
2002-07-22,-3.8534
2002-07-23,-1.5387
2002-07-24,5.72
2002-07-25,6.0212
2002-07-26,0.0816
2002-07-27,8.1114
2002-07-28,-3.1111
2002-07-29,1.5272
2002-07-30,2.4782
2002-07-31,2.6832
2002-08-01,-3.4738
2002-08-02,1.4265
2002-08-03,5.7806
2002-08-04,9.8881
2002-08-05,-3.1187
2002-08-06,-1.8239
2002-08-07,4.7173
2002-08-08,5.0293
2002-08-09,4.5709
2002-08-10,-3.6502
2002-08-11,6.6843
2002-08-12,1.0858
2002-08-13,4.2299
2002-08-14,-3.899
2002-08-15,-3.3639
2002-08-16,5.9524
2002-08-17,-2.5811
2002-08-18,1.2185
2002-08-19,-1.7697
2002-08-20,5.9356
2002-08-21,-2.0984
2002-08-22,12.5406
2002-08-23,0.2121
2002-08-24,2.0896
2002-08-25,0.0623
2002-08-26,0.4981
2002-08-27,2.6365
2002-08-28,-4.5951
2002-08-29,-3.5384
2002-08-30,7.9663
2002-08-31,1.6691
2002-09-01,3.3206
2002-09-02,7.4811
2002-09-03,-1.1519
2002-09-04,-2.6164
2002-09-05,-2.8377
2002-09-06,-4.3098
2002-09-07,-4.5916
2002-09-08,1.4213
2002-09-09,1.9832
2002-09-10,-1.1656
2002-09-11,0.0221
2002-09-12,1.8367
2002-09-13,-3.7959
2002-09-14,-0.8889
2002-09-15,4.2191
2002-09-16,-1.1671
2002-09-17,2.8298
2002-09-18,-2.3214
2002-09-19,-1.8925
2002-09-20,-4.9256
2002-09-21,-4.7117
2002-09-22,-4.8707
2002-09-23,-4.1081
2002-09-24,-2.7296
2002-09-25,-2.5363
2002-09-26,-2.6046
2002-09-27,6.1621
2002-09-28,-4.4439
2002-09-29,-4.1088
2002-09-30,-4.6122
2002-10-01,8.2355
2002-10-02,1.461
2002-10-03,-2.2176
2002-10-04,-0.8286
2002-10-05,4.1372
2002-10-06,-1.4083
2002-10-07,0.3547
2002-10-08,0.5988
2002-10-09,-4.6961
2002-10-10,-4.4878
2002-10-11,-4.5615
2002-10-12,-4.1642
2002-10-13,-3.1798
2002-10-14,4.2458
2002-10-15,-4.1846
2002-10-16,-4.144
2002-10-17,-2.9507
2002-10-18,-3.1023
2002-10-19,-4.2768
2002-10-20,-3.5753
2002-10-21,-0.1112
