date,2m_temp
2002-07-01,32.7337
2002-07-02,33.3701
2002-07-03,31.5651
2002-07-04,32.5935
2002-07-05,33.5925
2002-07-06,33.5408
2002-07-07,32.7114
2002-07-08,32.1299
2002-07-09,31.1685
2002-07-10,30.2854
2002-07-11,28.179
2002-07-12,26.7931
2002-07-13,30.4422
2002-07-14,28.3584
2002-07-15,28.8208
2002-07-16,28.9974
2002-07-17,27.4318
2002-07-18,27.8168
2002-07-19,27.4752
2002-07-20,29.1073
2002-07-21,27.9026
2002-07-22,29.0777
2002-07-23,28.4814
2002-07-24,27.6062
2002-07-25,27.2279
2002-07-26,26.9566
2002-07-27,27.8363
2002-07-28,26.3098
2002-07-29,26.4264
2002-07-30,26.7411
2002-07-31,27.0385
2002-08-01,28.1988
2002-08-02,26.8064
2002-08-03,27.2532
2002-08-04,26.2949
2002-08-05,26.0013
2002-08-06,27.639
2002-08-07,27.2699
2002-08-08,24.9721
2002-08-09,27.6642
2002-08-10,27.9435
2002-08-11,27.1286
2002-08-12,26.6102
2002-08-13,26.8371
2002-08-14,27.5362
2002-08-15,28.1565
2002-08-16,27.959
2002-08-17,26.6028
2002-08-18,26.3694
2002-08-19,27.318
2002-08-20,26.3306
2002-08-21,27.7901
2002-08-22,26.0378
2002-08-23,27.0459
2002-08-24,25.8778
2002-08-25,26.2115
2002-08-26,26.5713
2002-08-27,25.6273
2002-08-28,27.6742
2002-08-29,29.5256
2002-08-30,27.9622
2002-08-31,23.1378
2002-09-01,27.2958
2002-09-02,25.4684
2002-09-03,26.0159
2002-09-04,27.1084
2002-09-05,26.6594
2002-09-06,24.8697
2002-09-07,27.4027
2002-09-08,28.8207
2002-09-09,27.538
2002-09-10,27.1004
2002-09-11,25.9545
2002-09-12,27.9295
2002-09-13,27.1587
2002-09-14,27.4184
2002-09-15,25.359
2002-09-16,27.5041
2002-09-17,26.6229
2002-09-18,28.407
2002-09-19,28.5428
2002-09-20,29.4462
2002-09-21,29.4813
2002-09-22,27.5524
2002-09-23,28.5961
2002-09-24,29.2406
2002-09-25,28.7217
2002-09-26,29.1764
2002-09-27,28.1051
2002-09-28,26.7664
2002-09-29,29.092
2002-09-30,29.7826
2002-10-01,29.2846
2002-10-02,29.4263
2002-10-03,28.3147
